imageFilename,WindField,geometry_x,geometry_y,heading,dx,dy,ratio,speed
wind_field_estimation_Orb_tnr_spk_TC_images.10062.tif,wind_4608,-31.15524521,33.69103117,169.7589248,-35.82,93.36,0.82,20
wind_field_estimation_Orb_tnr_spk_TC_images.10064.tif,wind_4592,-31.12341245,33.68620046,170.3251765,-34.91,93.71,0.69,7.3
wind_field_estimation_Orb_tnr_spk_TC_images.10065.tif,wind_4599,-31.09157968,33.68136974,167.3019736,-39.9,91.7,0.81,13
wind_field_estimation_Orb_tnr_spk_TC_images.10067.tif,wind_4598,-31.05974691,33.67653903,171.4500201,-33.09,94.37,0.65,14.2
wind_field_estimation_Orb_tnr_spk_TC_images.10070.tif,wind_4428,-30.99010679,33.6938645,175.6277112,-26.08,96.54,0.72,14.3
wind_field_estimation_Orb_tnr_spk_TC_images.10071.tif,wind_4407,-30.95827869,33.68899926,170.8473711,-34.19,93.97,0.78,15.5
wind_field_estimation_Orb_tnr_spk_TC_images.10072.tif,wind_4419,-30.92645059,33.68413402,170.1164983,-35.43,93.51,0.78,13.8
wind_field_estimation_Orb_tnr_spk_TC_images.10074.tif,wind_4418,-30.89462252,33.67926878,172.7524831,-31.07,95.05,0.75,9.4
wind_field_estimation_Orb_tnr_spk_TC_images.10077.tif,wind_4420,-30.82495414,33.69650218,175.702701,-26.1,96.53,0.68,20
wind_field_estimation_Orb_tnr_spk_TC_images.10078.tif,wind_4404,-30.79313138,33.69160293,181.4533162,-16.14,98.69,0.72,20
wind_field_estimation_Orb_tnr_spk_TC_images.1008.tif,wind_102,-31.38374517,35.2306295,177.6046049,-21.86,97.58,0.72,11.6
wind_field_estimation_Orb_tnr_spk_TC_images.10080.tif,wind_4409,-30.76130864,33.68670368,170.4169448,-35.08,93.65,0.71,6
wind_field_estimation_Orb_tnr_spk_TC_images.10081.tif,wind_4408,-30.72949697,33.681778,179.0625516,-20.39,97.9,0.68,15.6
wind_field_estimation_Orb_tnr_spk_TC_images.10082.tif,wind_4413,-30.69768901,33.6768434,177.1016238,-23.82,97.12,0.71,13.4
wind_field_estimation_Orb_tnr_spk_TC_images.10085.tif,wind_4279,-30.62797061,33.69400779,169.7694577,-36.27,93.19,0.83,10.1
wind_field_estimation_Orb_tnr_spk_TC_images.10087.tif,wind_4298,-30.59616058,33.68905633,169.5689444,-36.65,93.04,0.76,11.2
wind_field_estimation_Orb_tnr_spk_TC_images.10088.tif,wind_4297,-30.56435854,33.68408776,176.8549836,-24.37,96.99,0.6,6.9
wind_field_estimation_Orb_tnr_spk_TC_images.1009.tif,wind_99,-31.35128616,35.22596448,178.5508389,-20.25,97.93,0.71,10.3
wind_field_estimation_Orb_tnr_spk_TC_images.10090.tif,wind_4301,-30.53255648,33.6791192,171.8859318,-32.85,94.45,0.8,6.8
wind_field_estimation_Orb_tnr_spk_TC_images.10093.tif,wind_4133,-30.46280375,33.69620782,171.7590994,-33.13,94.35,0.77,14.7
wind_field_estimation_Orb_tnr_spk_TC_images.10094.tif,wind_4137,-30.43100729,33.69120502,175.792486,-26.32,96.48,0.8,9.5
wind_field_estimation_Orb_tnr_spk_TC_images.10095.tif,wind_4136,-30.3992108,33.68620222,165.1969802,-43.9,89.85,0.75,13.9
wind_field_estimation_Orb_tnr_spk_TC_images.10097.tif,wind_4141,-30.36741432,33.68119942,167.6653393,-39.96,91.67,0.8,10.9
wind_field_estimation_Orb_tnr_spk_TC_images.10098.tif,wind_4140,-30.33561786,33.67619662,159.778113,-52.36,85.2,0.8,13.3
wind_field_estimation_Orb_tnr_spk_TC_images.1010.tif,wind_98,-31.31882714,35.22129947,174.6859936,-26.94,96.3,0.72,18.4
wind_field_estimation_Orb_tnr_spk_TC_images.10101.tif,wind_4129,-30.26584516,33.69315557,173.3968965,-30.55,95.22,0.78,13.2
wind_field_estimation_Orb_tnr_spk_TC_images.10103.tif,wind_4128,-30.23405505,33.68811727,175.3536219,-27.25,96.22,0.71,18.8
wind_field_estimation_Orb_tnr_spk_TC_images.10104.tif,wind_4125,-30.20226496,33.68307897,175.122627,-27.67,96.09,0.84,8.5
wind_field_estimation_Orb_tnr_spk_TC_images.10105.tif,wind_4124,-30.17048558,33.67801506,174.8663599,-28.15,95.95,0.7,4.2
wind_field_estimation_Orb_tnr_spk_TC_images.10108.tif,wind_3961,-30.10066889,33.69490645,173.4964117,-30.55,95.22,0.73,12.4
wind_field_estimation_Orb_tnr_spk_TC_images.10110.tif,wind_3960,-30.068883,33.68983416,163.4585619,-46.93,88.3,0.8,6.2
wind_field_estimation_Orb_tnr_spk_TC_images.1012.tif,wind_86,-31.28636812,35.21663446,175.3591555,-25.82,96.61,0.73,15.5
wind_field_estimation_Orb_tnr_spk_TC_images.10162.tif,wind_4848,-31.98070097,33.67387012,175.9766096,-24.51,96.95,0.69,6.7
wind_field_estimation_Orb_tnr_spk_TC_images.10163.tif,wind_4843,-31.94882952,33.66924572,178.8724365,-19.53,98.07,0.69,9.9
wind_field_estimation_Orb_tnr_spk_TC_images.10179.tif,wind_4741,-31.58684472,33.67193243,175.1398411,-26.32,96.47,0.7,20
wind_field_estimation_Orb_tnr_spk_TC_images.10180.tif,wind_4740,-31.55499684,33.66720457,181.3024929,-15.66,98.77,0.71,13.1
wind_field_estimation_Orb_tnr_spk_TC_images.10181.tif,wind_4737,-31.52314895,33.66247672,169.2075975,-36.35,93.16,0.69,14.4
wind_field_estimation_Orb_tnr_spk_TC_images.10183.tif,wind_4736,-31.49130106,33.65774886,170.6240343,-34.03,94.03,0.76,20
wind_field_estimation_Orb_tnr_spk_TC_images.10184.tif,wind_4721,-31.45945319,33.653021,170.123253,-34.91,93.71,0.75,15.3
wind_field_estimation_Orb_tnr_spk_TC_images.10187.tif,wind_4722,-31.38992909,33.67050991,152.4490944,-61.98,78.48,0.86,7.6
wind_field_estimation_Orb_tnr_spk_TC_images.10189.tif,wind_4731,-31.358086,33.66574838,166.3632029,-41.13,91.15,0.73,20
wind_field_estimation_Orb_tnr_spk_TC_images.10190.tif,wind_4730,-31.32624293,33.66098685,169.4929724,-36.05,93.27,0.72,9.5
wind_field_estimation_Orb_tnr_spk_TC_images.10191.tif,wind_4706,-31.29441099,33.65619927,171.0236614,-33.56,94.2,0.73,13.8
wind_field_estimation_Orb_tnr_spk_TC_images.10194.tif,wind_4606,-31.22484652,33.67362102,175.26441,-26.44,96.44,0.72,6.8
wind_field_estimation_Orb_tnr_spk_TC_images.10196.tif,wind_4611,-31.19300824,33.66882492,163.0036236,-46.6,88.48,0.85,15.3
wind_field_estimation_Orb_tnr_spk_TC_images.10197.tif,wind_4610,-31.16117767,33.66401154,160.8367501,-50,86.6,0.84,12.2
wind_field_estimation_Orb_tnr_spk_TC_images.10199.tif,wind_4593,-31.12935494,33.65918053,170.4880578,-34.6,93.82,0.79,16.5
wind_field_estimation_Orb_tnr_spk_TC_images.10200.tif,wind_4601,-31.09753219,33.65434953,166.2493258,-41.56,90.96,0.69,14.1
wind_field_estimation_Orb_tnr_spk_TC_images.10203.tif,wind_4595,-31.02791777,33.67169972,167.5871434,-39.51,91.86,0.76,14.5
wind_field_estimation_Orb_tnr_spk_TC_images.10204.tif,wind_4594,-30.99609967,33.66683404,168.9743053,-37.27,92.8,0.83,9.2
wind_field_estimation_Orb_tnr_spk_TC_images.10206.tif,wind_4586,-30.96428155,33.66196836,177.7344231,-22.48,97.44,0.71,13.9
wind_field_estimation_Orb_tnr_spk_TC_images.10207.tif,wind_4589,-30.93246344,33.65710268,177.1028913,-23.6,97.17,0.74,14.1
wind_field_estimation_Orb_tnr_spk_TC_images.10209.tif,wind_4588,-30.90064535,33.65223699,180.7629127,-17.27,98.5,0.78,20
wind_field_estimation_Orb_tnr_spk_TC_images.10210.tif,wind_4423,-30.86280961,33.67436935,162.1566349,-48.27,87.58,0.82,11
wind_field_estimation_Orb_tnr_spk_TC_images.10212.tif,wind_4422,-30.83099673,33.6694698,165.5572654,-42.95,90.31,0.74,5.5
wind_field_estimation_Orb_tnr_spk_TC_images.10213.tif,wind_4405,-30.79918384,33.66457026,169.6592044,-36.31,93.17,0.71,11.9
wind_field_estimation_Orb_tnr_spk_TC_images.10214.tif,wind_4411,-30.76737098,33.65967071,176.5660626,-24.68,96.91,0.81,17.1
wind_field_estimation_Orb_tnr_spk_TC_images.10216.tif,wind_4410,-30.73556931,33.65474485,173.9012789,-29.28,95.62,0.72,13.8
wind_field_estimation_Orb_tnr_spk_TC_images.10219.tif,wind_4412,-30.66588105,33.6719088,165.263364,-43.56,90.02,0.79,9.7
wind_field_estimation_Orb_tnr_spk_TC_images.10220.tif,wind_4398,-30.63407309,33.6669742,177.7423847,-22.77,97.37,0.66,10.8
wind_field_estimation_Orb_tnr_spk_TC_images.10222.tif,wind_4401,-30.60227309,33.66202259,158.2268778,-54.44,83.88,0.81,7.4
wind_field_estimation_Orb_tnr_spk_TC_images.10223.tif,wind_4400,-30.57048106,33.65705388,168.9491778,-37.7,92.62,0.74,3.7
wind_field_estimation_Orb_tnr_spk_TC_images.10224.tif,wind_4391,-30.53868901,33.65208516,171.0508915,-34.25,93.95,0.77,14.5
wind_field_estimation_Orb_tnr_spk_TC_images.10226.tif,wind_4300,-30.50075444,33.67415063,170.9795959,-34.39,93.9,0.8,14.5
wind_field_estimation_Orb_tnr_spk_TC_images.10227.tif,wind_4273,-30.46895629,33.66917345,171.0690166,-34.29,93.94,0.76,6.4
wind_field_estimation_Orb_tnr_spk_TC_images.10229.tif,wind_4283,-30.43716982,33.66417036,174.730877,-28.14,95.96,0.74,7.8
wind_field_estimation_Orb_tnr_spk_TC_images.10230.tif,wind_4282,-30.40538333,33.65916726,166.6569121,-41.57,90.95,0.75,7.1
wind_field_estimation_Orb_tnr_spk_TC_images.10231.tif,wind_4278,-30.37359684,33.65416417,171.6849861,-33.34,94.28,0.77,5.5
wind_field_estimation_Orb_tnr_spk_TC_images.10234.tif,wind_4123,-30.30383774,33.67115817,169.3035217,-37.36,92.76,0.82,10.3
wind_field_estimation_Orb_tnr_spk_TC_images.10236.tif,wind_4131,-30.27205759,33.66611973,169.2705437,-37.44,92.73,0.69,16.8
wind_field_estimation_Orb_tnr_spk_TC_images.10237.tif,wind_4130,-30.24027744,33.66108128,170.2736317,-35.81,93.37,0.81,11.1
wind_field_estimation_Orb_tnr_spk_TC_images.10239.tif,wind_4127,-30.2084973,33.65604283,166.5430756,-41.92,90.79,0.72,10.5
wind_field_estimation_Orb_tnr_spk_TC_images.10242.tif,wind_4116,-30.13870972,33.67294264,175.0481586,-27.87,96.04,0.74,8.3
wind_field_estimation_Orb_tnr_spk_TC_images.10243.tif,wind_4119,-30.10693385,33.66787023,166.9376191,-41.38,91.04,0.8,7
wind_field_estimation_Orb_tnr_spk_TC_images.10244.tif,wind_4118,-30.075158,33.66279781,164.103895,-45.91,88.84,0.77,5
wind_field_estimation_Orb_tnr_spk_TC_images.10321.tif,wind_4725,-31.42762001,33.64825926,177.1633341,-23,97.32,0.71,15.3
wind_field_estimation_Orb_tnr_spk_TC_images.10322.tif,wind_4724,-31.39578691,33.64349729,181.9909049,-14.61,98.93,0.73,12.4
wind_field_estimation_Orb_tnr_spk_TC_images.10323.tif,wind_4733,-31.3639538,33.63873532,176.814216,-23.66,97.16,0.66,19.5
wind_field_estimation_Orb_tnr_spk_TC_images.10325.tif,wind_4732,-31.33212071,33.63397335,172.3823718,-31.24,94.99,0.78,8
wind_field_estimation_Orb_tnr_spk_TC_images.10326.tif,wind_4707,-31.30029887,33.62918532,184.3701502,-10.51,99.45,0.66,14.3
wind_field_estimation_Orb_tnr_spk_TC_images.10328.tif,wind_4717,-31.26258285,33.65140273,173.1116095,-30.08,95.37,0.8,8.1
wind_field_estimation_Orb_tnr_spk_TC_images.10329.tif,wind_4716,-31.2307547,33.64660619,165.8610121,-42.06,90.72,0.78,7.8
wind_field_estimation_Orb_tnr_spk_TC_images.10331.tif,wind_4727,-31.19892656,33.64180964,175.0915595,-26.77,96.35,0.71,14.5
wind_field_estimation_Orb_tnr_spk_TC_images.10332.tif,wind_4726,-31.16710603,33.6369959,168.6947494,-37.54,92.68,0.74,10.2
wind_field_estimation_Orb_tnr_spk_TC_images.10333.tif,wind_4704,-31.13529323,33.63216459,181.2572233,-16.15,98.69,0.63,15.7
wind_field_estimation_Orb_tnr_spk_TC_images.10336.tif,wind_4600,-31.06570946,33.64951852,165.1749707,-43.3,90.14,0.77,12.6
wind_field_estimation_Orb_tnr_spk_TC_images.10338.tif,wind_4597,-31.03389035,33.6446789,173.4727141,-29.69,95.49,0.8,12.6
wind_field_estimation_Orb_tnr_spk_TC_images.10339.tif,wind_4596,-31.00208228,33.63981288,171.6076609,-32.86,94.45,0.7,19.3
wind_field_estimation_Orb_tnr_spk_TC_images.10341.tif,wind_4587,-30.97027419,33.63494686,168.1214309,-38.65,92.23,0.77,11.2
wind_field_estimation_Orb_tnr_spk_TC_images.10342.tif,wind_4591,-30.93846611,33.63008084,174.2116934,-28.52,95.85,0.61,20
wind_field_estimation_Orb_tnr_spk_TC_images.10345.tif,wind_4583,-30.86884232,33.64733727,179.5158856,-19.48,98.08,0.81,12.9
wind_field_estimation_Orb_tnr_spk_TC_images.10346.tif,wind_4582,-30.83703932,33.64243743,173.3834297,-30.06,95.37,0.83,11.8
wind_field_estimation_Orb_tnr_spk_TC_images.10348.tif,wind_4576,-30.80523631,33.63753759,172.3334504,-31.86,94.79,0.75,10.2
wind_field_estimation_Orb_tnr_spk_TC_images.10349.tif,wind_4579,-30.77343332,33.63263775,167.7254719,-39.51,91.87,0.72,9.1
wind_field_estimation_Orb_tnr_spk_TC_images.10352.tif,wind_4415,-30.7037714,33.6498101,167.4731713,-39.99,91.66,0.78,20
wind_field_estimation_Orb_tnr_spk_TC_images.10353.tif,wind_4414,-30.67197348,33.64487535,173.3369583,-30.29,95.3,0.77,12.7
wind_field_estimation_Orb_tnr_spk_TC_images.10355.tif,wind_4399,-30.64017558,33.6399406,167.9640952,-39.24,91.98,0.82,10.1
wind_field_estimation_Orb_tnr_spk_TC_images.10356.tif,wind_4403,-30.6083856,33.63498885,159.7656981,-52.15,85.32,0.78,8.4
wind_field_estimation_Orb_tnr_spk_TC_images.10358.tif,wind_4402,-30.57660357,33.63001999,175.6048555,-26.53,96.42,0.72,8.7
wind_field_estimation_Orb_tnr_spk_TC_images.10361.tif,wind_4390,-30.50689697,33.64711644,173.1187517,-30.81,95.14,0.75,6.8
wind_field_estimation_Orb_tnr_spk_TC_images.10362.tif,wind_4372,-30.47510882,33.64213909,169.2302201,-37.34,92.77,0.81,13.1
wind_field_estimation_Orb_tnr_spk_TC_images.10363.tif,wind_4383,-30.44333235,33.6371357,182.2110929,-15.16,98.84,0.74,8.4
wind_field_estimation_Orb_tnr_spk_TC_images.10365.tif,wind_4382,-30.41155585,33.63213231,172.119701,-32.59,94.54,0.73,7
wind_field_estimation_Orb_tnr_spk_TC_images.10368.tif,wind_4277,-30.34181038,33.64916107,174.7186201,-28.26,95.92,0.82,8.4
wind_field_estimation_Orb_tnr_spk_TC_images.10369.tif,wind_4274,-30.31004021,33.64412248,182.0479643,-15.57,98.78,0.71,14.3
wind_field_estimation_Orb_tnr_spk_TC_images.10371.tif,wind_4276,-30.27827002,33.63908389,162.8830524,-47.66,87.91,0.82,9.2
wind_field_estimation_Orb_tnr_spk_TC_images.10372.tif,wind_4275,-30.24649982,33.63404529,175.2372501,-27.46,96.16,0.75,16.8
wind_field_estimation_Orb_tnr_spk_TC_images.10373.tif,wind_4270,-30.21472964,33.6290067,183.704113,-12.74,99.19,0.73,8.2
wind_field_estimation_Orb_tnr_spk_TC_images.10375.tif,wind_4126,-30.17672797,33.65097877,178.1773089,-22.46,97.45,0.67,6.4
wind_field_estimation_Orb_tnr_spk_TC_images.10376.tif,wind_4117,-30.14496218,33.64590621,171.4514222,-33.95,94.06,0.74,11.5
wind_field_estimation_Orb_tnr_spk_TC_images.10378.tif,wind_4121,-30.1131964,33.64083365,179.549679,-20.13,97.95,0.75,6.3
wind_field_estimation_Orb_tnr_spk_TC_images.10379.tif,wind_4120,-30.08143062,33.63576109,166.7863218,-41.65,90.91,0.83,9.8
wind_field_estimation_Orb_tnr_spk_TC_images.10463.tif,wind_4719,-31.26848088,33.62438834,166.6340126,-40.8,91.3,0.76,11.5
wind_field_estimation_Orb_tnr_spk_TC_images.10464.tif,wind_4718,-31.23666287,33.61959135,175.9994388,-25.19,96.77,0.71,11.6
wind_field_estimation_Orb_tnr_spk_TC_images.10465.tif,wind_4729,-31.20484488,33.61479437,174.7199107,-27.41,96.17,0.72,6.7
wind_field_estimation_Orb_tnr_spk_TC_images.10467.tif,wind_4728,-31.17303439,33.60998025,169.404669,-36.38,93.15,0.77,12.3
wind_field_estimation_Orb_tnr_spk_TC_images.10470.tif,wind_4709,-31.10348041,33.62733329,168.1268408,-38.52,92.28,0.79,10.1
wind_field_estimation_Orb_tnr_spk_TC_images.10471.tif,wind_4708,-31.07166761,33.62250199,157.7666278,-54.67,83.74,0.81,9.8
wind_field_estimation_Orb_tnr_spk_TC_images.10472.tif,wind_4713,-31.03985845,33.61766208,166.1476592,-41.8,90.84,0.73,19.1
wind_field_estimation_Orb_tnr_spk_TC_images.10474.tif,wind_4712,-31.00806043,33.61279576,175.2716693,-26.66,96.38,0.7,20
wind_field_estimation_Orb_tnr_spk_TC_images.10478.tif,wind_4590,-30.90665805,33.62521482,175.5012231,-26.36,96.46,0.75,10.5
wind_field_estimation_Orb_tnr_spk_TC_images.10480.tif,wind_4585,-30.874865,33.6203148,173.7531681,-29.37,95.59,0.71,6.8
wind_field_estimation_Orb_tnr_spk_TC_images.10481.tif,wind_4584,-30.84307199,33.61541466,165.4211091,-43.13,90.22,0.7,10.8
wind_field_estimation_Orb_tnr_spk_TC_images.10482.tif,wind_4577,-30.81127897,33.61051453,143.4398537,-73.91,67.36,0.85,8.9
wind_field_estimation_Orb_tnr_spk_TC_images.10484.tif,wind_4581,-30.77948597,33.60561439,180.0295368,-18.64,98.25,0.73,13.7
wind_field_estimation_Orb_tnr_spk_TC_images.10485.tif,wind_4578,-30.74164166,33.6277117,168.2706435,-38.67,92.22,0.7,17.9
wind_field_estimation_Orb_tnr_spk_TC_images.10487.tif,wind_4573,-30.70985379,33.6227768,179.2166448,-20.16,97.95,0.75,13.7
wind_field_estimation_Orb_tnr_spk_TC_images.10488.tif,wind_4572,-30.67806592,33.61784191,167.6326937,-39.76,91.76,0.84,12.2
wind_field_estimation_Orb_tnr_spk_TC_images.10490.tif,wind_4562,-30.64627806,33.61290701,164.0226537,-45.55,89.02,0.75,20
wind_field_estimation_Orb_tnr_spk_TC_images.10491.tif,wind_4569,-30.61449811,33.60795511,172.2564714,-32.19,94.68,0.82,7.5
wind_field_estimation_Orb_tnr_spk_TC_images.10494.tif,wind_4393,-30.54482153,33.62505112,176.0921715,-25.72,96.63,0.66,16.5
wind_field_estimation_Orb_tnr_spk_TC_images.10495.tif,wind_4392,-30.5130395,33.62008226,179.9356699,-19.09,98.16,0.75,15.8
wind_field_estimation_Orb_tnr_spk_TC_images.10497.tif,wind_4373,-30.48126136,33.61510472,169.6764002,-36.61,93.06,0.81,11.8
wind_field_estimation_Orb_tnr_spk_TC_images.10498.tif,wind_4385,-30.44949488,33.61010103,167.7432154,-39.8,91.74,0.8,15.1
wind_field_estimation_Orb_tnr_spk_TC_images.10501.tif,wind_4395,-30.37977936,33.62712892,166.3509578,-42.09,90.71,0.75,13.4
wind_field_estimation_Orb_tnr_spk_TC_images.10503.tif,wind_4394,-30.34800289,33.62212553,170.5404007,-35.3,93.56,0.68,7.2
wind_field_estimation_Orb_tnr_spk_TC_images.10504.tif,wind_4370,-30.31624268,33.61708678,168.9252363,-37.99,92.5,0.75,15.4
wind_field_estimation_Orb_tnr_spk_TC_images.10505.tif,wind_4379,-30.28448244,33.61204804,169.9911641,-36.26,93.19,0.86,18
wind_field_estimation_Orb_tnr_spk_TC_images.10507.tif,wind_4378,-30.25272221,33.6070093,180.9643708,-17.54,98.45,0.69,9.9
wind_field_estimation_Orb_tnr_spk_TC_images.10510.tif,wind_4269,-30.18297036,33.62394249,168.0869243,-39.48,91.88,0.8,8.5
wind_field_estimation_Orb_tnr_spk_TC_images.10511.tif,wind_4254,-30.15121465,33.61886978,171.3280693,-34.16,93.98,0.7,4.4
wind_field_estimation_Orb_tnr_spk_TC_images.10513.tif,wind_4268,-30.11945894,33.61379707,167.2272461,-40.92,91.24,0.74,9.4
wind_field_estimation_Orb_tnr_spk_TC_images.10514.tif,wind_4267,-30.08770324,33.60872436,161.6170685,-49.77,86.73,0.75,7.9
wind_field_estimation_Orb_tnr_spk_TC_images.10603.tif,wind_4705,-31.14123152,33.60514865,171.8133917,-32.4,94.61,0.82,9.3
wind_field_estimation_Orb_tnr_spk_TC_images.10604.tif,wind_4711,-31.10942863,33.60031706,172.1557492,-31.85,94.79,0.76,17.5
wind_field_estimation_Orb_tnr_spk_TC_images.10606.tif,wind_4710,-31.07762575,33.59548546,160.2510565,-50.96,86.04,0.76,14.6
wind_field_estimation_Orb_tnr_spk_TC_images.10607.tif,wind_4715,-31.04582656,33.59064525,176.266315,-24.93,96.84,0.71,20
wind_field_estimation_Orb_tnr_spk_TC_images.10609.tif,wind_4714,-31.01403859,33.58577864,157.3639831,-55.34,83.29,0.78,12
wind_field_estimation_Orb_tnr_spk_TC_images.10620.tif,wind_4580,-30.74770435,33.60068808,174.5464953,-28.15,95.96,0.69,14.7
wind_field_estimation_Orb_tnr_spk_TC_images.10622.tif,wind_4575,-30.71592654,33.59575294,171.6182608,-33.12,94.35,0.74,7.2
wind_field_estimation_Orb_tnr_spk_TC_images.10623.tif,wind_4574,-30.68414873,33.59081779,170.3509244,-35.26,93.58,0.68,13.4
wind_field_estimation_Orb_tnr_spk_TC_images.10624.tif,wind_4563,-30.65237093,33.58588264,170.3845014,-35.23,93.59,0.72,12.6
wind_field_estimation_Orb_tnr_spk_TC_images.10627.tif,wind_4568,-30.58272609,33.6029861,168.2765685,-38.81,92.16,0.73,7
wind_field_estimation_Orb_tnr_spk_TC_images.10629.tif,wind_4565,-30.55095406,33.59801709,175.8906084,-26.07,96.54,0.8,13.4
wind_field_estimation_Orb_tnr_spk_TC_images.10630.tif,wind_4564,-30.51918203,33.59304808,160.2867128,-51.43,85.76,0.84,5.3
wind_field_estimation_Orb_tnr_spk_TC_images.10632.tif,wind_4552,-30.48741389,33.58807035,174.1123102,-29.18,95.65,0.78,8.5
wind_field_estimation_Orb_tnr_spk_TC_images.10633.tif,wind_4555,-30.45565741,33.58306637,170.2494293,-35.69,93.41,0.81,12
wind_field_estimation_Orb_tnr_spk_TC_images.10635.tif,wind_4384,-30.41772838,33.60509735,167.3561613,-40.45,91.45,0.79,6.3
wind_field_estimation_Orb_tnr_spk_TC_images.10636.tif,wind_4397,-30.38596188,33.60009366,170.6174969,-35.13,93.63,0.72,7
wind_field_estimation_Orb_tnr_spk_TC_images.10637.tif,wind_4396,-30.35419541,33.59508998,170.001235,-36.2,93.22,0.7,14.9
wind_field_estimation_Orb_tnr_spk_TC_images.10639.tif,wind_4371,-30.32244515,33.59005109,167.5927817,-40.17,91.58,0.75,5.6
wind_field_estimation_Orb_tnr_spk_TC_images.10640.tif,wind_4381,-30.29069487,33.5850122,169.1027761,-37.73,92.61,0.78,9.3
wind_field_estimation_Orb_tnr_spk_TC_images.10643.tif,wind_4375,-30.22096198,33.60197056,178.2931946,-22.23,97.5,0.73,20
wind_field_estimation_Orb_tnr_spk_TC_images.10644.tif,wind_4374,-30.18921274,33.5969062,179.894374,-19.48,98.08,0.68,5.4
wind_field_estimation_Orb_tnr_spk_TC_images.10646.tif,wind_4368,-30.15746712,33.59183335,160.6933293,-51.14,85.93,0.84,9
wind_field_estimation_Orb_tnr_spk_TC_images.10647.tif,wind_4387,-30.12572148,33.58676049,174.4516305,-28.93,95.72,0.76,7.6
